Time,Servers,AverageCPU,Sessions,Pheromone
156001.01,3,0.5533333333333333,33.0,58.969333333332976
156061.01,3,0.5599999999999999,31.0,58.41733333333292
156121.01,3,0.27,28.0,58.529333333332765
156181.01,3,0.47,22.0,58.738222222221516
156241.01,3,0.5666666666666668,16.0,60.54622222222135
156301.01,3,0.36999999999999994,14.0,60.05199999999908
156361.01,3,0.31,15.0,60.9648888888878
156421.01,3,0.4266666666666667,19.0,61.051111111109975
156481.01,3,0.4466666666666666,24.0,62.07333333333211
156541.01,3,0.4166666666666667,25.0,62.97822222222083
156601.01,3,0.3033333333333333,31.0,63.22977777777629
156661.01,3,0.38999999999999996,31.0,62.55955555555403
156721.01,3,0.3033333333333334,27.0,64.69111111110949
156781.01,3,0.5533333333333333,27.0,65.4582222222205
156841.01,3,0.43333333333333335,26.0,65.1186666666649
156901.01,3,0.5266666666666667,33.0,63.83066666666472
156961.01,3,0.3433333333333333,27.0,63.651111111109095
157021.01,3,0.5266666666666667,34.0,63.819999999997925
157081.01,3,0.64,27.0,65.05644444444225
157141.01,3,0.37333333333333335,27.0,64.17022222221992
157201.01,3,0.49666666666666665,27.0,64.64311111110875
157261.01,3,0.49333333333333335,26.0,67.39599999999747
157321.01,3,0.24666666666666667,24.0,67.95777777777515
157381.01,3,0.43333333333333335,19.0,67.91955555555278
157441.01,3,0.32,20.0,68.33999999999715
157501.01,3,0.5066666666666667,19.0,67.12488888888596
157561.01,3,0.39000000000000007,17.0,66.24755555555252
157621.01,3,0.4666666666666666,18.0,67.53644444444122
157681.01,3,0.4666666666666666,17.0,67.62355555555224
157741.01,3,0.4766666666666666,17.0,67.7488888888855
157801.01,3,0.3566666666666667,25.0,68.17644444444095
157861.01,3,0.4533333333333333,25.0,68.5071111111075
157921.01,3,0.3866666666666667,28.0,70.72577777777406
157981.01,3,0.47000000000000003,23.0,71.04933333332954
158041.01,3,0.4666666666666666,20.0,70.8839999999961
158101.01,3,0.47333333333333333,22.0,71.96311111110704
158161.01,3,0.5833333333333334,27.0,71.86622222221806
158221.01,3,0.5166666666666667,29.0,74.29111111110677
